CODE,CrimeName
13,ASSIST OFFICER
1A,HOMICIDE
1F,HOMICIDE
1K,HOMICIDE
1O,HOMICIDE
20A,FOLLOWUP
20B,FOOT PATROL
20C,BANK CHECK          
20D,DETAIL              
20E,COURT               
20F,WARRANT             
20G,REPAIRS/SERVICE     
20H,TRAFFIC CONTROL     
20J,TRANSPORT           
20K,ESCORT              
20L,LUNCH               
20M,PERSONAL RELIEF     
20N,SCHOOL/CHURCH       
20R,OUT-OF-VEHICLES     
20S,SUPERVISOR COMP     
20W,WATER BAN
20Z,ADMIN-OTHER
23,UNAUTHORIZED USE    
24,TOWED VEHICLE       
24P,TOWED VEHICLE
25,CAR STOP
26,RECOVERED VEHICLE   
27,ROBBERY - CARJACKING
28,SUICIDE - ATTEMPT
29,DRIVING WHILE INTOX.
2A,RAPE
2B,RAPE
2C,MINOR SEX OFFENSE
2D,MINOR SEX OFFENSE
2E,MINOR SEX OFFENSE
2F,MINOR SEX OFFENSE
2G,MINOR SEX OFFENSE
2H,MINOR SEX OFFENSE
2J,MINOR SEX OFFENSE
30,ACCIDENT-AUTO       
31,ACCIDENT-PERSON INJ.
32,ACCIDENT-AUTO DEATH 
33,PARKING COMPLAINT   
34,ACC-DEPT
35,ACC-DEPT PER INJ
38,ASSIST MTA
39,FIRE                
3AF,ROBBERY - STREET
3AJF,ROBBERY - CARJACKING
3AJK,ROBBERY - CARJACKING
3AJO,ROBBERY - CARJACKING
3AK,ROBBERY - STREET
3AO,ROBBERY - STREET
3B,ROBBERY - STREET
3BJ,ROBBERY - CARJACKING
3C,ROBBERY - COMMERCIAL
3CF,ROBBERY - COMMERCIAL
3CK,ROBBERY - COMMERCIAL
3CO,ROBBERY - COMMERCIAL
3D,ROBBERY - COMMERCIAL
3E,ROBBERY - COMMERCIAL
3EF,ROBBERY - COMMERCIAL
3EK,ROBBERY - COMMERCIAL
3EO,ROBBERY - COMMERCIAL
3F,ROBBERY - COMMERCIAL
3G,ROBBERY - COMMERCIAL
3GF,ROBBERY - COMMERCIAL
3GK,ROBBERY - COMMERCIAL
3GO,ROBBERY - COMMERCIAL
3H,ROBBERY - COMMERCIAL
3J,ROBBERY - RESIDENCE
3JF,ROBBERY - RESIDENCE
3JK,ROBBERY - RESIDENCE
3JO,ROBBERY - RESIDENCE
3K,ROBBERY - RESIDENCE
3L,ROBBERY - COMMERCIAL
3LF,ROBBERY - COMMERCIAL
3LK,ROBBERY - COMMERCIAL
3LO,ROBBERY - COMMERCIAL
3M,ROBBERY - COMMERCIAL
3N,ROBBERY - STREET
3NF,ROBBERY - STREET
3NK,ROBBERY - STREET
3NO,ROBBERY - STREET
3P,ROBBERY - STREET
3Q,ROBBERY - COMMERCIAL
40,ASSIST THE FIRE DEPT
48,INVOLUNTARY DETENTION
49,FAMILY DISTURBANCE  
4A,AGG. ASSAULT
4B,AGG. ASSAULT
4C,AGG. ASSAULT
4D,AGG. ASSAULT
4E,COMMON ASSAULT
4F,ASSAULT BY THREAT
50,JUVENILE DISTURBANCE
51,STREET DISTURBANCE
52,ANIMAL DISTURBANCE
53,VEHICLE DISTURBANCE
54,ARMED PERSON
55,DISORDERLY PERSON
55A,PROSTITUTION COMPLAINT
56,MISSING PERSON
57,SUSPICIOUS PERSON
58,INJURED PERSON
59,INTOXICATED PERSON
5A,BURGLARY
5B,BURGLARY
5C,BURGLARY
5D,BURGLARY
5E,BURGLARY
5F,BURGLARY
5G,BURGLARY
60,SICK PERSON         
60A,AED NONBREATHING
61,PERSON WANTED ON WAR
62,PERSON LYING ON ST. 
63,ALARM
64,LOITERING
65,ALARM
66,ALARM
67,CHILD ABUSE-PHYSICAL
68,LOUD_NOISE
69,INVESTIGATE AUTO
6A,LARCENY
6B,LARCENY
6C,LARCENY
6D,LARCENY FROM AUTO
6E,LARCENY
6F,LARCENY
6G,LARCENY
6H,LARCENY
6J,LARCENY
6K,LARCENY
6L,LARCENY
70,SANITATION COMPLAINT
70A,ILLEGAL DUMPING
70P,ILLEGAL DUMPING (IN PROGRESS)
71,SEX OFFENSE         
72,EXPLOSION           
73,FALSE PRETENSE      
74,STREET OBSTRUCTION  
75,DESTRUCT. OF PROPERT
76,CHILD ABUSE-SEXUAL  
77,DOG BITE            
78,GAMBLING            
79,OTHER               
79B,BLDG COLLAPSE
79H,HARBOR RESCUE
79P,PLANE CRASH
79R,LIGHTRAIL
79S,SHIP FIRE
79T,SIGNAL OUT
79W,WATER RESCUE
7A,AUTO THEFT
7B,AUTO THEFT
7C,AUTO THEFT
80,LOST PROPERTY       
81,RECOVERED PROPERTY  
82,PROWLER             
83,DISCHARGING
84,BOMB SCARE          
84B,BIOHAZARD
85,MENTAL CASE         
86,SPECIAL CURFEW      
87,CDS_911
87O,CDS_911
87V,CDS_ONVIEW
88,UNFOUNDED CALL      
89,911/NO VOICE CALL   
8AO,ARSON
8AV,ARSON
8BO,ARSON
8BV,ARSON
8CO,ARSON
8CV,ARSON
8DO,ARSON
8DV,ARSON
8EO,ARSON
8EV,ARSON
8FO,ARSON
8FV,ARSON
8GO,ARSON
8GV,ARSON
8H ,ARSON
8I ,ARSON
8J ,ARSON
90,BARRICADE           
91,SNIPER              
92,LOOTING             
93,ABDUCTION - OTHER   
94,ABDUCTION BY PARENT 
95,EXPARTE             
96,STOP & FRISK        
97,S_&_S_WARRANTS
98,CHILD NEGLECT       
99,ACCIDENT-HIT & RUN  
9S,SHOOTING
FI,FIELD INTERVIEW
RA,REQUEST ASSISTANCE
ZN,FALSE ALARM
ZY,FALSE ALARM - CANCELLED
